ID_REF,Breast cancer saliva-1,Breast cancer saliva-2,Breast cancer saliva-3,Breast cancer saliva-4,Breast cancer saliva-5,Breast cancer saliva-6,Breast cancer saliva-7,Breast cancer saliva-8,Breast cancer saliva-9,Breast cancer saliva-10,Healthy control saliva-bc1,Healthy control saliva-bc2,Healthy control saliva-bc3,Healthy control saliva-bc4,Healthy control saliva-bc5,Healthy control saliva-bc6,Healthy control saliva-bc7,Healthy control saliva-bc8,Healthy control saliva-bc9,Healthy control saliva-bc10
228869_at,1038.4,977.41,949.31,992.53,860.57,1054.26,844.91,889.29,1358.82,997.66,1343.69,1205.05,1158.55,1507.77,943.16,1164.31,1099.45,725.14,823.47,859.74
228870_at,4.31,5.44,11.46,0.17,5.36,9.78,4.73,9.68,4.34,7.99,2.46,13.07,6.15,11.45,8.06,4.77,3.78,4.67,4.92,4.2
228871_at,785.82,552.04,793.63,851.25,633.89,527.77,334.51,1150.07,410.55,812.37,510.95,583.17,591.05,420.36,337.86,437.52,309.17,373.85,409.2,236.45
228872_at,401.44,324.69,508.13,436.83,537.58,325,295.39,286.93,198.76,402.33,385.64,311.18,209.21,533.51,149.08,317.28,216.69,156.23,356.54,295.72
228873_at,2.65,59.28,35.55,2.69,5.8,13.52,25.46,10.02,16.44,3,16.75,0,0.21,4.47,35.23,84.8,107.68,4.5,4.39,4.89
228874_at,1.95,3.58,4.68,9.45,5.74,7.4,5.45,1.16,0.01,4.98,0.77,1.83,0,4.93,0,2.84,2.51,0.39,1.25,0.42
228875_at,62.34,38.89,11.21,37.16,0.04,0.05,65.07,31.3,0.04,24.12,15.51,74.27,32.34,18.14,43.69,133.86,49.89,74.19,0.22,45.69
228876_at,0.73,7.73,3.57,1.42,0,0.08,0.59,3.59,3.71,9.46,0.01,0.03,0,2.17,0,5.49,5.49,0.58,2.93,5.43
228877_at,0,3.83,1.97,0.19,0.96,0.66,0.64,0,0,1.27,4.93,0.87,0.48,0,3.49,0.04,10.93,46.9,1.24,2.45
228878_s_at,0,2.34,2.46,0,0,2.35,3.54,0,1.96,0,1.1,4.3,1.43,0.04,1.94,0,5.76,0,0,1.05
228879_at,0,3.37,3.1,4.77,0,0.01,0,0,0,0.74,0.31,5.85,2.08,0,6.08,0,0.01,0,0.44,6.3
228880_at,0.01,0,0.97,4.29,6.47,3.96,2.28,0,0.01,1.58,0.4,7.2,0.42,4.08,0.01,4.42,2.21,1.87,4.84,0.01
228881_at,8.89,0.01,2.28,4.9,0.01,0.82,6.71,0.46,5.52,4.23,1.06,5.61,3.98,0,4.55,1.98,1.56,8.31,0.01,4.19
228882_at,1.98,6.18,14.38,1.81,2.67,2.38,0.32,0.01,1.88,0.81,3.47,0,3.82,2.48,4.37,5.71,4.28,0.22,39.07,2.72
228883_at,0.74,7.94,0,5.02,10.56,2.74,2.95,0.01,6.56,0,1.56,43.17,4.4,0,4.13,0,12.73,15.34,9.72,0
