TMEM67,RBM8A,UBA6,PAPPA,SMEK2,KHDRBS1,YWHAZ,TAX1BP1,BAZ2A,PSMC6,NBAS,EDEM1,FLI1,GPSM3,RYR1,HSPH1,DUT,IKBKB,ITSN2,SLC25A1,HSP90AA1,ZFAND5,MAGEA10,ELL2,HIGD1A,KLF4,ABHD17B,BVES,EVA1A,RP11-53O19.3,Cancer
1318.496,91.04584,173.9466,209.0131,710.7314,91.84983,358.1335,1244.077,106.9316,97.18295,81.37928,277.5012,515.8243,113.6907,671.2899,903.4769,77.27304,1289.308,849.1436,690.4926,363.7178,464.4979,805.4776,50.42386,109.4055,124.3714,76.66172,517.3852,154.9242,801.616,1
154.4229,25.6588,55.63877,69.70181,31.46012,5188.029,5892.13,8221.747,443.7822,3228.839,944.5909,453.5724,5093.905,1193.414,834.8063,703.8999,348.8467,1661.671,1385.502,262.1724,2769.493,8956.97,214.1109,25.68177,6536.994,24.59482,46.87276,36.95711,457.0056,283.5535,1
34.15361,60.32977,30.76794,71.82923,337.9575,1641.456,4706.208,6791.519,441.6211,6156.462,468.8766,728.4384,1873.63,2621.734,128.5675,355.2633,277.325,1056.439,965.7357,570.9715,3473.479,3509.893,83.6634,68.81447,10301.2,166.5504,40.27077,573.733,196.2736,209.1889,1
717.8879,36.08537,28.92168,29.62486,393.5172,1416.096,1422.77,2646.662,1297.257,1560.136,1650.336,1026.408,2151.546,1037.902,465.7029,744.0529,690.5086,1176.8,980.5523,77.31214,2596.194,2112.111,112.6394,63.16865,3321.903,55.71553,106.4482,345.1801,141.6796,44.31332,1
18.67306,42.88221,77.01685,26.35294,281.2299,6443.789,3677.021,8614.492,202.2242,18196.8,930.701,482.1226,741.1464,1269.649,108.9712,242.2943,743.173,517.5713,807.784,1096.423,4058.643,3358.041,122.5431,398.0748,26752.79,138.9853,206.3803,608.8891,123.6709,233.4948,1
38.18602,330.0676,534.9216,551.657,57.63159,2285.177,2220.856,3741.886,1681.393,1098.549,34.03132,462.8114,2553.746,3200.767,113.7323,895.6749,1390.156,129.7657,1250.226,590.0071,1826.438,1505.988,40.5505,40.61835,3775.641,218.7895,88.42738,1223.228,727.9238,105.3087,1
157.7366,237.1922,38.00404,30.92634,707.3557,1598.681,4786.19,9824.169,680.6387,4976.944,1149.245,49.01334,1413.275,3261.641,296.6538,876.1092,626.3318,1615.176,1688.165,290.4132,4537.445,3548.773,60.49319,388.6791,10686.59,30.57187,755.2233,933.605,65.6843,323.5054,1
26.70298,908.0517,57.53713,46.05284,176.2016,3099.868,2207.533,13286.2,130.7224,4430.846,537.7407,508.8165,735.1028,1083.082,354.9347,587.0489,790.9683,635.1292,1811.675,917.6629,4343.932,2366.728,44.44797,744.7293,7980.708,29.96517,49.93776,1127.63,502.4331,108.8344,1
105.837,506.5396,140.6773,954.6193,1530.669,1069.027,187.843,867.7897,166.8289,177.7731,1259.057,1421.713,72.31216,2980.038,201.9808,105.3838,1090.388,890.6696,265.5516,1399.301,2064.003,2090.974,382.3961,207.2738,1240.271,323.5929,165.5974,296.1537,766.0204,62.50385,1
147.4998,64.93437,45.32928,480.7757,714.3047,4646.052,2717.046,5808.303,42.05114,13062.78,1589.651,1184.993,1446.228,1993.116,65.08021,1060.299,452.2106,3290.45,1419.197,821.9559,2997.658,4826.939,53.62471,83.1348,7767.681,44.46436,49.8338,76.82097,74.54221,640.4825,1
